R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Tanner Boser;Raphael Pessoa;Heavyweight Bout;KO/TKO;0.5
Movsar Evloev;Mike Grundy;Featherweight Bout;Decision - Unanimous;1.0
Ramazan Emeev;Niklas Stolze;Welterweight Bout;Decision - Unanimous;1.0
Bethe Correia;Pannie Kianzad;Women's Bantamweight Bout;Decision - Unanimous;1.0
Nathaniel Wood;John Castaneda;Bantamweight Bout;Decision - Unanimous;1.0
Joe Duffy;Joel Alvarez;Lightweight Bout;Submission;0.5
Jack Hermansson;Kelvin Gastelum;Middleweight Bout;Submission;0.5
Marc Diakiese;Rafael Fiziev;Lightweight Bout;Decision - Unanimous;1.0
Alexandre Pantoja;Askar Askarov;Flyweight Bout;Decision - Unanimous;1.0
Grant Dawson;Nad Narimani;Catch Weight Bout;Decision - Unanimous;1.0
Deiveson Figueiredo;Joseph Benavidez;UFC Flyweight Title Bout;Submission;0.5
Roman Dolidze;Khadis Ibragimov;Light Heavyweight Bout;KO/TKO;0.5
Ariane Lipski;Luana Carolina;Women's Flyweight Bout;Submission;0.5
Malcolm Gordon;Amir Albazi;Bantamweight Bout;Submission;0.5
Brett Johns;Montel Jackson;Bantamweight Bout;Decision - Unanimous;1.0
Carlos Felipe;Serghei Spivac;Heavyweight Bout;Decision - Majority;1.0
Davi Ramos;Arman Tsarukyan;Lightweight Bout;Decision - Unanimous;1.0
Modestas Bukauskas;Andreas Michailidis;Light Heavyweight Bout;KO/TKO;0.5
Molly McCann;Taila Santos;Women's Flyweight Bout;Decision - Unanimous;1.0
John Phillips;Khamzat Chimaev;Middleweight Bout;Submission;0.5
Ricardo Ramos;Lerone Murphy;Featherweight Bout;KO/TKO;0.5
Jimmie Rivera;Cody Stamann;Featherweight Bout;Decision - Unanimous;1.0
Calvin Kattar;Dan Ige;Featherweight Bout;Decision - Unanimous;1.0
Abdul Razak Alhassan;Mounir Lazzez;Welterweight Bout;Decision - Unanimous;1.0
Tim Elliott;Ryan Benoit;Flyweight Bout;Decision - Unanimous;1.0
Diana Belbita;Liana Jojua;Women's Flyweight Bout;Submission;0.5
Jack Shore;Aaron Phillips;Bantamweight Bout;Submission;0.5
Jared Gordon;Chris Fishgold;Featherweight Bout;Decision - Unanimous;1.0
Jessica Andrade;Rose Namajunas;Women's Strawweight Bout;Decision - Split;1.0
Makwan Amirkhani;Danny Henry;Featherweight Bout;Submission;0.5
Volkan Oezdemir;Jiri Prochazka;Light Heavyweight Bout;KO/TKO;0.5
Elizeu Zaleski dos Santos;Muslim Salikhov;Welterweight Bout;Decision - Split;1.0
Petr Yan;Jose Aldo;UFC Bantamweight Title Bout;KO/TKO;0.5
Alexander Volkanovski;Max Holloway;UFC Featherweight Title Bout;Decision - Split;1.0
Kamaru Usman;Jorge Masvidal;UFC Welterweight Title Bout;Decision - Unanimous;1.0
Amanda Ribas;Paige VanZant;Women's Flyweight Bout;Submission;0.5
Leonardo Santos;Roman Bogatov;Lightweight Bout;Decision - Unanimous;1.0
Karol Rosa;Vanessa Melo;Women's Bantamweight Bout;Decision - Unanimous;1.0
Marcin Tybura;Maxim Grishin;Heavyweight Bout;Decision - Unanimous;1.0
Raulian Paiva;Zhalgas Zhumagulov;Flyweight Bout;Decision - Unanimous;1.0
Martin Day;Davey Grant;Bantamweight Bout;KO/TKO;0.5
Luis Pena;Khama Worthy;Lightweight Bout;Submission;0.5
Philipe Lins;Tanner Boser;Heavyweight Bout;KO/TKO;0.5
Gian Villante;Maurice Greene;Heavyweight Bout;Submission;0.5
Sean Woodson;Julian Erosa;Catch Weight Bout;Submission;0.5
Mike Perry;Mickey Gall;Welterweight Bout;Decision - Unanimous;1.0
Dustin Poirier;Dan Hooker;Lightweight Bout;Decision - Unanimous;1.0
Brendan Allen;Kyle Daukaus;Middleweight Bout;Decision - Unanimous;1.0
Takashi Sato;Jason Witt;Welterweight Bout;KO/TKO;0.5
Jordan Griffin;Youssef Zalal;Featherweight Bout;Decision - Unanimous;1.0
Kay Hansen;Jinh Yu Frey;Women's Strawweight Bout;Submission;0.5
Jim Miller;Roosevelt Roberts;Catch Weight Bout;Submission;0.5
Marc-Andre Barriault;Oskar Piechota;Middleweight Bout;Overturned;2.0
Clay Guida;Bobby Green;Lightweight Bout;Decision - Unanimous;1.0
Belal Muhammad;Lyman Good;Welterweight Bout;Decision - Unanimous;1.0
Curtis Blaydes;Alexander Volkov;Heavyweight Bout;Decision - Unanimous;1.0
Josh Emmett;Shane Burgos;Featherweight Bout;Decision - Unanimous;1.0
Tecia Torres;Brianna Van Buren;Women's Strawweight Bout;Decision - Unanimous;1.0
Raquel Pennington;Marion Reneau;Women's Bantamweight Bout;Decision - Unanimous;1.0
Cortney Casey;Gillian Robertson;Women's Flyweight Bout;Submission;0.5
Frank Camacho;Justin Jaynes;Lightweight Bout;KO/TKO;0.5
Roxanne Modafferi;Lauren Murphy;Women's Flyweight Bout;Decision - Unanimous;1.0
Austin Hubbard;Max Rohskopf;Lightweight Bout;TKO - Doctor's Stoppage;0.5
Mariya Agapova;Hannah Cifers;Women's Flyweight Bout;Submission;0.5
Andre Fili;Charles Jourdain;Featherweight Bout;Decision - Split;1.0
Merab Dvalishvili;Gustavo Lopez;Catch Weight Bout;Decision - Unanimous;1.0
Jordan Espinosa;Mark De La Rosa;Bantamweight Bout;Decision - Unanimous;1.0
Karl Roberson;Marvin Vettori;Middleweight Bout;Submission;0.5
Charles Rosa;Kevin Aguilar;Lightweight Bout;Decision - Split;1.0
Jessica Eye;Cynthia Calvillo;Women's Flyweight Bout;Decision - Unanimous;1.0
Julia Avila;Gina Mazany;Women's Bantamweight Bout;KO/TKO;0.5
Anthony Ivy;Christian Aguilera;Welterweight Bout;KO/TKO;0.5
Tyson Nam;Zarrukh Adashev;Bantamweight Bout;KO/TKO;0.5
Cody Stamann;Brian Kelleher;Featherweight Bout;Decision - Unanimous;1.0
Eddie Wineland;Sean O'Malley;Bantamweight Bout;KO/TKO;0.5
Alex Caceres;Chase Hooper;Featherweight Bout;Decision - Unanimous;1.0
Raphael Assuncao;Cody Garbrandt;Bantamweight Bout;KO/TKO;0.5
Amanda Nunes;Felicia Spencer;UFC Women's Featherweight Title Bout;Decision - Unanimous;1.0
Aljamain Sterling;Cory Sandhagen;Bantamweight Bout;Submission;0.5
Neil Magny;Anthony Rocco Martin;Welterweight Bout;Decision - Unanimous;1.0
Ian Heinisch;Gerald Meerschaert;Middleweight Bout;KO/TKO;0.5
Charles Byrd;Maki Pitolo;Middleweight Bout;KO/TKO;0.5
Evan Dunham;Herbert Burns;Catch Weight Bout;Submission;0.5
Alonzo Menifield;Devin Clark;Light Heavyweight Bout;Decision - Unanimous;1.0
Jussier Formiga;Alex Perez;Flyweight Bout;KO/TKO;0.5
Blagoy Ivanov;Augusto Sakai;Heavyweight Bout;Decision - Split;1.0
Jamahal Hill;Klidson Abreu;Light Heavyweight Bout;Overturned;2.0
Mackenzie Dern;Hannah Cifers;Women's Strawweight Bout;Submission;0.5
Daniel Rodriguez;Gabe Green;Welterweight Bout;Decision - Unanimous;1.0
Katlyn Chookagian;Antonina Shevchenko;Women's Flyweight Bout;Decision - Unanimous;1.0
Tyron Woodley;Gilbert Burns;Welterweight Bout;Decision - Unanimous;1.0
Roosevelt Roberts;Brok Weaver;Lightweight Bout;Submission;0.5
Billy Quarantillo;Spike Carlyle;Catch Weight Bout;Decision - Unanimous;1.0
Tim Elliott;Brandon Royval;Flyweight Bout;Submission;0.5
Louis Smolka;Casey Kenney;Bantamweight Bout;Submission;0.5
Chris Gutierrez;Vince Morales;Featherweight Bout;KO/TKO;0.5
Dan Ige;Edson Barboza;Featherweight Bout;Decision - Split;1.0
Claudia Gadelha;Angela Hill;Women's Strawweight Bout;Decision - Split;1.0
Anthony Hernandez;Kevin Holland;Middleweight Bout;KO/TKO;0.5
Giga Chikadze;Irwin Rivera;Featherweight Bout;Decision - Unanimous;1.0
Eryk Anders;Krzysztof Jotko;Middleweight Bout;Decision - Unanimous;1.0
Matt Brown;Miguel Baeza;Welterweight Bout;KO/TKO;0.5
Alistair Overeem;Walt Harris;Heavyweight Bout;KO/TKO;0.5
Song Yadong;Marlon Vera;Featherweight Bout;Decision - Unanimous;1.0
Cortney Casey;Mara Romero Borella;Women's Flyweight Bout;Submission;0.5
Darren Elkins;Nate Landwehr;Featherweight Bout;Decision - Unanimous;1.0
Rodrigo Nascimento;Don'Tale Mayes;Heavyweight Bout;Submission;0.5
Ricky Simon;Ray Borg;Bantamweight Bout;Decision - Split;1.0
Ben Rothwell;Ovince Saint Preux;Heavyweight Bout;Decision - Split;1.0
Gabriel Benitez;Omar Morales;Lightweight Bout;Decision - Unanimous;1.0
Anthony Smith;Glover Teixeira;Light Heavyweight Bout;KO/TKO;0.5
Andrei Arlovski;Philipe Lins;Heavyweight Bout;Decision - Unanimous;1.0
Michael Johnson;Thiago Moises;Lightweight Bout;Submission;0.5
Alexander Hernandez;Drew Dober;Lightweight Bout;KO/TKO;0.5
Sijara Eubanks;Sarah Moras;Women's Bantamweight Bout;Decision - Unanimous;1.0
Hunter Azure;Brian Kelleher;Featherweight Bout;KO/TKO;0.5
Chase Sherman;Ike Villanueva;Heavyweight Bout;KO/TKO;0.5
Carla Esparza;Michelle Waterson;Women's Strawweight Bout;Decision - Split;1.0
Anthony Pettis;Donald Cerrone;Welterweight Bout;Decision - Unanimous;1.0
Aleksei Oleinik;Fabricio Werdum;Heavyweight Bout;Decision - Split;1.0
Jeremy Stephens;Calvin Kattar;Featherweight Bout;KO/TKO;0.5
Tony Ferguson;Justin Gaethje;UFC Interim Lightweight Title Bout;KO/TKO;0.5
Francis Ngannou;Jairzinho Rozenstruik;Heavyweight Bout;KO/TKO;0.5
Henry Cejudo;Dominick Cruz;UFC Bantamweight Title Bout;KO/TKO;0.5
Vicente Luque;Niko Price;Welterweight Bout;TKO - Doctor's Stoppage;0.5
Greg Hardy;Yorgan De Castro;Heavyweight Bout;Decision - Unanimous;1.0
Ryan Spann;Sam Alvey;Light Heavyweight Bout;Decision - Split;1.0
Bryce Mitchell;Charles Rosa;Featherweight Bout;Decision - Unanimous;1.0
Amanda Ribas;Randa Markos;Women's Strawweight Bout;Decision - Unanimous;1.0
Jussier Formiga;Brandon Moreno;Flyweight Bout;Decision - Unanimous;1.0
Renato Moicano;Damir Hadzovic;Lightweight Bout;Submission;0.5
Elizeu Zaleski dos Santos;Aleksei Kunchenko;Welterweight Bout;Decision - Unanimous;1.0
Johnny Walker;Nikita Krylov;Light Heavyweight Bout;Decision - Unanimous;1.0
Demian Maia;Gilbert Burns;Welterweight Bout;KO/TKO;0.5
Kevin Lee;Charles Oliveira;Lightweight Bout;Submission;0.5
Francisco Trinaldo;John Makdessi;Lightweight Bout;Decision - Unanimous;1.0
Rani Yahya;Enrique Barzola;Bantamweight Bout;Decision - Majority;1.0
Mayra Bueno Silva;Maryna Moroz;Women's Flyweight Bout;Decision - Unanimous;1.0
Bruno Silva;David Dvorak;Flyweight Bout;Decision - Unanimous;1.0
Veronica Macedo;Bea Malecki;Women's Bantamweight Bout;Decision - Unanimous;1.0
Beneil Dariush;Drakkar Klose;Lightweight Bout;KO/TKO;0.5
Neil Magny;Li Jingliang;Welterweight Bout;Decision - Unanimous;1.0
Sean O'Malley;Jose Quinonez;Bantamweight Bout;KO/TKO;0.5
Israel Adesanya;Yoel Romero;UFC Middleweight Title Bout;Decision - Unanimous;1.0
Zhang Weili;Joanna Jedrzejczyk;UFC Women's Strawweight Title Bout;Decision - Split;1.0
Rodolfo Vieira;Saparbeg Safarov;Middleweight Bout;Submission;0.5
Mark Madsen;Austin Hubbard;Lightweight Bout;Decision - Unanimous;1.0
Giga Chikadze;Jamall Emmers;Featherweight Bout;Decision - Split;1.0
Batgerel Danaa;Guido Cannetti;Bantamweight Bout;KO/TKO;0.5
Gerald Meerschaert;Deron Winn;Middleweight Bout;Submission;0.5
Alex Oliveira;Max Griffin;Welterweight Bout;Decision - Split;1.0
Marcin Tybura;Serghei Spivac;Heavyweight Bout;Decision - Unanimous;1.0
Felicia Spencer;Zarah Fairn;Women's Featherweight Bout;KO/TKO;0.5
Grant Dawson;Darrick Minner;Featherweight Bout;Submission;0.5
Brendan Allen;Tom Breese;Middleweight Bout;KO/TKO;0.5
Gabriel Silva;Kyler Phillips;Bantamweight Bout;Decision - Unanimous;1.0
Megan Anderson;Norma Dumont;Women's Featherweight Bout;KO/TKO;0.5
Jordan Griffin;TJ Brown;Featherweight Bout;Submission;0.5
Sean Brady;Ismail Naurdiev;Welterweight Bout;Decision - Unanimous;1.0
Aalon Cruz;Spike Carlyle;Featherweight Bout;KO/TKO;0.5
Luis Pena;Steve Garcia;Lightweight Bout;Decision - Unanimous;1.0
Jimmy Crute;Michal Oleksiejczuk;Light Heavyweight Bout;Submission;0.5
Paul Felder;Dan Hooker;Lightweight Bout;Decision - Split;1.0
Jalin Turner;Josh Culibao;Lightweight Bout;KO/TKO;0.5
Karolina Kowalkiewicz;Yan Xiaonan;Women's Strawweight Bout;Decision - Unanimous;1.0
Ben Sosoli;Marcos Rogerio de Lima;Heavyweight Bout;KO/TKO;0.5
Brad Riddell;Magomed Mustafaev;Lightweight Bout;Decision - Split;1.0
Kevin Aguilar;Zubaira Tukhugov;Featherweight Bout;KO/TKO;0.5
Jake Matthews;Emil Meek;Welterweight Bout;Decision - Unanimous;1.0
Loma Lookboonmee;Angela Hill;Women's Strawweight Bout;Decision - Unanimous;1.0
Kai Kara-France;Tyson Nam;Flyweight Bout;Decision - Unanimous;1.0
Callan Potter;Song Kenan;Welterweight Bout;KO/TKO;0.5
Priscila Cachoeira;Shana Dobson;Women's Flyweight Bout;KO/TKO;0.5
Tim Means;Daniel Rodriguez;Welterweight Bout;Submission;0.5
Lando Vannata;Yancy Medeiros;Lightweight Bout;Decision - Unanimous;1.0
Brok Weaver;Kazula Vargas;Lightweight Bout;DQ;2.0
Montana De La Rosa;Mara Romero Borella;Women's Flyweight Bout;Decision - Unanimous;1.0
Rogerio Bontorin;Ray Borg;Flyweight Bout;Decision - Unanimous;1.0
Diego Sanchez;Michel Pereira;Welterweight Bout;DQ;2.0
Corey Anderson;Jan Blachowicz;Light Heavyweight Bout;KO/TKO;0.5
John Dodson;Nathaniel Wood;Bantamweight Bout;KO/TKO;0.5
Jim Miller;Scott Holtzman;Lightweight Bout;Decision - Unanimous;1.0
Devin Clark;Dequan Townsend;Light Heavyweight Bout;Decision - Unanimous;1.0
Casey Kenney;Merab Dvalishvili;Bantamweight Bout;Decision - Unanimous;1.0
Mark De La Rosa;Raulian Paiva;Flyweight Bout;KO/TKO;0.5
Macy Chiasson;Shanna Young;Women's Bantamweight Bout;Decision - Unanimous;1.0
Valentina Shevchenko;Katlyn Chookagian;UFC Women's Flyweight Title Bout;KO/TKO;0.5
Juan Adams;Justin Tafa;Heavyweight Bout;KO/TKO;0.5
Trevin Giles;James Krause;Middleweight Bout;Decision - Split;1.0
Derrick Lewis;Ilir Latifi;Heavyweight Bout;Decision - Unanimous;1.0
Lauren Murphy;Andrea Lee;Women's Flyweight Bout;Decision - Split;1.0
Jon Jones;Dominick Reyes;UFC Light Heavyweight Title Bout;Decision - Unanimous;1.0
Mirsad Bektic;Dan Ige;Featherweight Bout;Decision - Split;1.0
Alex Morono;Khaos Williams;Welterweight Bout;KO/TKO;0.5
Andre Ewell;Jonathan Martinez;Bantamweight Bout;Decision - Split;1.0
Domingo Pilarte;Journey Newson;Bantamweight Bout;Overturned;2.0
Miles Johns;Mario Bautista;Bantamweight Bout;KO/TKO;0.5
Austin Lingo;Youssef Zalal;Featherweight Bout;Decision - Unanimous;1.0
Curtis Blaydes;Junior Dos Santos;Heavyweight Bout;KO/TKO;0.5
Justine Kish;Lucie Pudilova;Women's Flyweight Bout;Decision - Unanimous;1.0
Bevon Lewis;Dequan Townsend;Middleweight Bout;Decision - Unanimous;1.0
Jordan Espinosa;Alex Perez;Flyweight Bout;Submission;0.5
Jamahal Hill;Darko Stosic;Light Heavyweight Bout;Decision - Unanimous;1.0
Rafael Dos Anjos;Michael Chiesa;Welterweight Bout;Decision - Unanimous;1.0
Montel Jackson;Felipe Colares;Bantamweight Bout;Decision - Unanimous;1.0
Arnold Allen;Nik Lentz;Featherweight Bout;Decision - Unanimous;1.0
Sara McMann;Lina Lansberg;Women's Bantamweight Bout;Decision - Unanimous;1.0
Hannah Cifers;Angela Hill;Women's Strawweight Bout;KO/TKO;0.5
Brett Johns;Tony Gravely;Bantamweight Bout;Submission;0.5
Herbert Burns;Nate Landwehr;Featherweight Bout;KO/TKO;0.5
Anthony Pettis;Diego Ferreira;Lightweight Bout;Submission;0.5
Tim Elliott;Askar Askarov;Flyweight Bout;Decision - Unanimous;1.0
Aleksei Oleinik;Maurice Greene;Heavyweight Bout;Submission;0.5
Holly Holm;Raquel Pennington;Women's Bantamweight Bout;Decision - Unanimous;1.0
Conor McGregor;Donald Cerrone;Welterweight Bout;KO/TKO;0.5
Roxanne Modafferi;Maycee Barber;Women's Flyweight Bout;Decision - Unanimous;1.0
Andre Fili;Sodiq Yusuff;Featherweight Bout;Decision - Unanimous;1.0
Brian Kelleher;Ode Osbourne;Bantamweight Bout;Submission;0.5
Drew Dober;Nasrat Haqparast;Lightweight Bout;KO/TKO;0.5
Aleksa Camur;Justin Ledet;Light Heavyweight Bout;Decision - Unanimous;1.0
Sabina Mazo;JJ Aldrich;Women's Flyweight Bout;Decision - Split;1.0
Dooho Choi;Charles Jourdain;Featherweight Bout;KO/TKO;0.5
Volkan Oezdemir;Aleksandar Rakic;Light Heavyweight Bout;Decision - Split;1.0
Frankie Edgar;Chan Sung Jung;Featherweight Bout;KO/TKO;0.5
Da-Un Jung;Mike Rodriguez;Light Heavyweight Bout;KO/TKO;0.5
SeungWoo Choi;Suman Mokhtarian;Featherweight Bout;Decision - Unanimous;1.0
Kyung Ho Kang;Pingyuan Liu;Bantamweight Bout;Decision - Split;1.0
Ciryl Gane;Tanner Boser;Heavyweight Bout;Decision - Unanimous;1.0
Dong Hyun Ma;Omar Morales;Lightweight Bout;Decision - Unanimous;1.0
Miranda Granger;Amanda Lemos;Women's Strawweight Bout;Submission;0.5
Alexandre Pantoja;Matt Schnell;Flyweight Bout;KO/TKO;0.5
Heili Alateng;Ryan Benoit;Bantamweight Bout;Decision - Split;1.0
Junyong Park;Marc-Andre Barriault;Middleweight Bout;Decision - Unanimous;1.0
Raoni Barcelos;Said Nurmagomedov;Bantamweight Bout;Decision - Unanimous;1.0
Geoff Neal;Mike Perry;Welterweight Bout;KO/TKO;0.5
Ian Heinisch;Omari Akhmedov;Middleweight Bout;Decision - Unanimous;1.0
Amanda Nunes;Germaine de Randamie;UFC Women's Bantamweight Title Bout;Decision - Unanimous;1.0
Petr Yan;Urijah Faber;Bantamweight Bout;KO/TKO;0.5
Kamaru Usman;Colby Covington;UFC Welterweight Title Bout;KO/TKO;0.5
Marlon Moraes;Jose Aldo;Bantamweight Bout;Decision - Split;1.0
Ketlen Vieira;Irene Aldana;Women's Bantamweight Bout;KO/TKO;0.5
Brandon Moreno;Kai Kara-France;Flyweight Bout;Decision - Unanimous;1.0
Matt Brown;Ben Saunders;Welterweight Bout;KO/TKO;0.5
Chase Hooper;Daniel Teymur;Featherweight Bout;KO/TKO;0.5
Jessica Eye;Viviane Araujo;Women's Flyweight Bout;Decision - Unanimous;1.0
Punahele Soriano;Oskar Piechota;Middleweight Bout;KO/TKO;0.5
Marina Rodriguez;Cynthia Calvillo;Women's Strawweight Bout;Decision - Majority;1.0
Alistair Overeem;Jairzinho Rozenstruik;Heavyweight Bout;KO/TKO;0.5
Aspen Ladd;Yana Kunitskaya;Women's Bantamweight Bout;KO/TKO;0.5
Rob Font;Ricky Simon;Bantamweight Bout;Decision - Unanimous;1.0
Cody Stamann;Song Yadong;Bantamweight Bout;Decision - Majority;1.0
Stefan Struve;Ben Rothwell;Heavyweight Bout;KO/TKO;0.5
Thiago Alves;Tim Means;Welterweight Bout;Submission;0.5
Billy Quarantillo;Jacob Kilburn;Featherweight Bout;Submission;0.5
Joe Solecki;Matt Wiman;Lightweight Bout;Decision - Unanimous;1.0
Bryce Mitchell;Matt Sayles;Featherweight Bout;Submission;0.5
Virna Jandiroba;Mallory Martin;Women's Strawweight Bout;Submission;0.5
Makhmud Muradov;Trevor Smith;Middleweight Bout;KO/TKO;0.5
Sergio Moraes;James Krause;Welterweight Bout;KO/TKO;0.5
Charles Oliveira;Jared Gordon;Lightweight Bout;KO/TKO;0.5
Jan Blachowicz;Jacare Souza;Light Heavyweight Bout;Decision - Split;1.0
Ricardo Ramos;Eduardo Garagorri;Featherweight Bout;Submission;0.5
Antonio Arroyo;Andre Muniz;Middleweight Bout;Decision - Unanimous;1.0
Markus Perez;Wellington Turman;Middleweight Bout;Decision - Unanimous;1.0
Warlley Alves;Randy Brown;Welterweight Bout;Submission;0.5
Ariane Lipski;Isabela de Padua;Women's Flyweight Bout;Decision - Unanimous;1.0
Douglas Silva de Andrade;Renan Barao;Featherweight Bout;Decision - Unanimous;1.0
Vanessa Melo;Tracy Cortez;Women's Bantamweight Bout;Decision - Unanimous;1.0
Francisco Trinaldo;Bobby Green;Lightweight Bout;Decision - Unanimous;1.0
Alexander Volkov;Greg Hardy;Heavyweight Bout;Decision - Unanimous;1.0
Shamil Gamzatov;Klidson Abreu;Light Heavyweight Bout;Decision - Split;1.0
Zelim Imadaev;Danny Roberts;Welterweight Bout;KO/TKO;0.5
Rustam Khabilov;Sergey Khandozhko;Welterweight Bout;Decision - Unanimous;1.0
Khadis Ibragimov;Ed Herman;Light Heavyweight Bout;Decision - Unanimous;1.0
Ramazan Emeev;Anthony Rocco Martin;Welterweight Bout;Decision - Unanimous;1.0
Zabit Magomedsharipov;Calvin Kattar;Featherweight Bout;Decision - Unanimous;1.0
Magomed Ankalaev;Dalcha Lungiambula;Light Heavyweight Bout;KO/TKO;0.5
Abubakar Nurmagomedov;David Zawada;Welterweight Bout;Submission;0.5
Roman Kopylov;Karl Roberson;Middleweight Bout;Submission;0.5
Alexander Yakovlev;Roosevelt Roberts;Lightweight Bout;Decision - Unanimous;1.0
Jessica-Rose Clark;Pannie Kianzad;Women's Bantamweight Bout;Decision - Unanimous;1.0
Grigory Popov;Davey Grant;Bantamweight Bout;Decision - Split;1.0
Kevin Lee;Gregor Gillespie;Lightweight Bout;KO/TKO;0.5
Stephen Thompson;Vicente Luque;Welterweight Bout;Decision - Unanimous;1.0
Jorge Masvidal;Nate Diaz;Welterweight Bout;TKO - Doctor's Stoppage;0.5
Shane Burgos;Makwan Amirkhani;Featherweight Bout;KO/TKO;0.5
Corey Anderson;Johnny Walker;Light Heavyweight Bout;KO/TKO;0.5
Kelvin Gastelum;Darren Till;Middleweight Bout;Decision - Split;1.0
Derrick Lewis;Blagoy Ivanov;Heavyweight Bout;Decision - Split;1.0
Brad Tavares;Edmen Shahbazyan;Middleweight Bout;KO/TKO;0.5
Andrei Arlovski;Jairzinho Rozenstruik;Heavyweight Bout;KO/TKO;0.5
Katlyn Chookagian;Jennifer Maia;Women's Flyweight Bout;Decision - Unanimous;1.0
Julio Arce;Hakeem Dawodu;Featherweight Bout;Decision - Split;1.0
Lyman Good;Chance Rencountre;Welterweight Bout;KO/TKO;0.5
Ciryl Gane;Don'Tale Mayes;Heavyweight Bout;Submission;0.5
Michael Johnson;Stevie Ray;Lightweight Bout;Decision - Majority;1.0
Enrique Barzola;Movsar Evloev;Featherweight Bout;Decision - Unanimous;1.0
Randa Markos;Ashley Yoder;Women's Strawweight Bout;Decision - Split;1.0
Frank Camacho;Beneil Dariush;Lightweight Bout;Submission;0.5
Muslim Salikhov;Laureano Staropoli;Welterweight Bout;Decision - Unanimous;1.0
Demian Maia;Ben Askren;Welterweight Bout;Submission;0.5
Alex White;Rafael Fiziev;Lightweight Bout;Decision - Unanimous;1.0
Maurice Greene;Sergei Pavlovich;Heavyweight Bout;KO/TKO;0.5
Loma Lookboonmee;Aleksandra Albu;Women's Strawweight Bout;Decision - Split;1.0
Raphael Pessoa;Jeff Hughes;Heavyweight Bout;Decision - Unanimous;1.0
Maycee Barber;Gillian Robertson;Women's Flyweight Bout;KO/TKO;0.5
Greg Hardy;Ben Sosoli;Heavyweight Bout;Overturned;2.0
Deron Winn;Darren Stewart;Middleweight Bout;Decision - Split;1.0
Molly McCann;Diana Belbita;Women's Flyweight Bout;Decision - Unanimous;1.0
Charles Rosa;Manny Bermudez;Featherweight Bout;Submission;0.5
Joe Lauzon;Jonathan Pearce;Lightweight Bout;KO/TKO;0.5
Dominick Reyes;Chris Weidman;Light Heavyweight Bout;KO/TKO;0.5
Yair Rodriguez;Jeremy Stephens;Featherweight Bout;Decision - Unanimous;1.0
Randy Costa;Boston Salmon;Bantamweight Bout;KO/TKO;0.5
Brendan Allen;Kevin Holland;Middleweight Bout;Submission;0.5
Kyle Bochniak;Sean Woodson;Featherweight Bout;Decision - Unanimous;1.0
Daniel Spitz;Tanner Boser;Heavyweight Bout;Decision - Unanimous;1.0
Court McGee;Sean Brady;Welterweight Bout;Decision - Unanimous;1.0
Ryan Spann;Devin Clark;Light Heavyweight Bout;Submission;0.5
Mackenzie Dern;Amanda Ribas;Women's Strawweight Bout;Decision - Unanimous;1.0
Mike Davis;Thomas Gifford;Lightweight Bout;KO/TKO;0.5
Cub Swanson;Kron Gracie;Featherweight Bout;Decision - Unanimous;1.0
